English Name,Domain,User Count
mtcit,mtcit.gov.om,535
moe,moe.om,325
sjc,sjc.gov.om,156
mod,mod.gov.om,145
moh,moh.gov.om,125
nsg,nsg.gov.om,113
mof,mof.gov.om,100
mol,mol.gov.om,76
mafwr,mafwr.gov.om,55
cpa,cpa.gov.om,55
nraa,nraa.gov.om,53
ptlc,ptlc.gov.om,52
caa,caa.gov.om,51
ncsi,ncsi.gov.om,51
squ,squ.edu.om,48
utas,utas.edu.om,48
bur,bur.gov.om,47
opaz,opaz.gov.om,35
mcsy,mcsy.gov.om,31
omaninfo,omaninfo.om,29
taxoman,taxoman.gov.om,26
madayn,madayn.om,25
sme,sme.gov.om,20
mem,mem.gov.om,20
dhr,dhr.gov.om,20
mara,mara.gov.om,19
apsr,apsr.om,18
oia,oia.gov.om,18
fsa,fsa.gov.om,17
ram,ram.gov.om,13
fm,fm.gov.om,11
oaaaqa,oaaaqa.gov.om,8
goo,goo.gov.om,8
student.squ.edu.om,student.squ.edu.om,6
mjla,mjla.gov.om,5
rop,rop.gov.om,5
ro,ro.gov.om,4
sai,sai.gov.om,4
bng,bng.gov.om,3
alwusta,alwusta.gov.om,3
mosd,mosd.gov.om,3
mht,mht.gov.om,3
omanchamber,omanchamber.om,2
gom,gom.gov.om,2
gsc,gsc.gov.om,2
tejarah,tejarah.gov.om,2
dhofar,dhofar.gov.om,2
oman2040,oman2040.om,1
housing,housing.gov.om,1
ea,ea.gov.om,1
moi,moi.gov.om,1
bsgo,bsgo.gov.om,1
ssg,ssg.gov.om,1
mg,mg.gov.om,1
